Molecule Name,13 Total Area MS1,14 Total Area MS1,15 Total Area MS1,16 Total Area MS1,17 Total Area MS1,18 Total Area MS1,19 Total Area MS1,20 Total Area MS1,21 Total Area MS1,22 Total Area MS1,23 Total Area MS1,24 Total Area MS1,25 Total Area MS1,26 Total Area MS1,27 Total Area MS1,29 Total Area MS1,30 Total Area MS1,49 Total Area MS1,50 Total Area MS1,51 Total Area MS1,52 Total Area MS1,53 Total Area MS1,54 Total Area MS1,55 Total Area MS1,56 Total Area MS1,57 Total Area MS1,58 Total Area MS1,59 Total Area MS1,60 Total Area MS1,62 Total Area MS1,63 Total Area MS1,64 Total Area MS1,65 Total Area MS1,66 Total Area MS1,67 Total Area MS1,68 Total Area MS1,69 Total Area MS1,70 Total Area MS1,101 Total Area MS1,102 Total Area MS1,103 Total Area MS1,104 Total Area MS1,105 Total Area MS1,106 Total Area MS1
LPC(0:0_22:5),15468,27569,13657,33978,10252,9537,19265,16249,20003,31611,19874,18193,14979,27424,1063,10965,19742,28205,16828,12618,10050,18978,5615,16871,22035,18570,20891,25972,29938,15098,13841,6803,6177,15457,7231,13306,15745,21504,24603,21288,9703,16954,23231,15114
LPE(0:0/16:0),32410,41204,25117,23035,26884,21327,33463,28699,26120,26688,40087,28379,35631,33902,13825,20753,22521,69385,18855,40327,26545,44480,22932,26068,25295,18261,51501,24458,39518,24997,32372,29167,26672,17560,32342,23647,19395,30908,30908,14168,15003,13653,20162,5366
LPE(16:0/0:0),903704,1140517,761808,709812,772807,640917,895684,916760,885664,933723,1105951,860674,858907,741270,553536,1068539,831923,1595448,862338,953789,920948,762516,749168,802592,809161,760775,997884,968287,945113,674411,666172,856604,790736,914312,884513,800497,564531,764217,985005,975756,585405,648232,941732,635035
LPE(0:0/18:2),20741,20419,20797,20220,22577,5820,39952,19030,26153,29529,27581,18563,19459,17331,1502,10473,18998,26400,46660,17757,18693,16025,12626,17566,16200,16055,18115,17564,25587,14644,6412,16269,16346,10166,18786,18299,14550,21262,20663,16496,15089,5871,27679,8849
LPE(18:2/0:0),9432,9375,6362,2016,7551,1454,7296,8902,7943,6390,3478,8220,4419,2972,1026,1508,6840,20874,8988,6380,5602,4103,5483,4812,7764,4927,7665,6670,10168,4469,5180,5707,4795,3437,7974,4136,4854,8673,7318,10013,5120,5393,12712,6327
LPE(0:0/18:1),46815,65931,46107,40828,43426,30927,112786,40469,42518,69147,52450,50049,52132,41878,19395,23922,48499,89190,58925,41537,47057,46475,41094,42748,44548,40847,59450,38629,58711,41673,35783,34308,46305,33047,31826,27892,33674,43234,58503,47151,31232,28597,54007,27485
LPE(18:1/0:0),121486,133461,101208,99260,112179,86693,132773,106635,105060,141270,126747,122757,92819,102350,49772,93974,128794,233099,134075,123576,129325,136405,104910,103230,111096,89096,137300,144038,115996,76396,81732,132110,97543,70209,120857,102271,97563,89870,183871,173432,95866,96211,142548,124097
LPE(0:0/18:0),28559,35028,23877,17765,28221,27475,17863,34091,28411,29415,41779,27183,17684,29814,13298,41763,24687,64525,24807,36113,32523,29368,24032,31663,26631,21212,41565,30537,33002,21579,18854,14542,20118,32672,32206,28734,13961,16142,21039,19839,9993,18070,30734,12675
LPE(18:0/0:0),728148,1088185,701522,711739,718309,723750,854884,800928,767398,913443,1014492,921455,706814,704599,559138,1174611,803825,1483474,797508,817724,898167,723683,856358,847137,702911,774661,1015759,999287,791141,599010,646979,738247,721947,1047064,786023,906914,594147,627550,887427,1059478,613071,679655,893651,700631
LPE(20:4_0:0),118705,164855,102645,138307,115246,69741,322670,115450,106846,163275,149824,132611,106700,134392,44010,74952,145656,219346,138853,137879,149983,115600,128902,99242,111570,104174,119873,134521,171630,96041,79426,124058,102072,91644,66260,88969,114044,126689,146354,148052,93883,69544,142535,105338
PA(16:0_18:1),1623975,4685592,3694266,2089509,1416963,2217502,1607809,1680165,2010597,1302693,1945962,3257285,3852216,2645465,2226043,2598091,2269849,4686072,1556564,1471607,2220930,3330707,2020235,2302168,1592117,1503036,5284221,3447893,4564372,534853,2122377,1060685,3171021,3118763,1425118,1373587,985031,2282987,3784209,3452643,2388614,1706604,2016001,2282084
PC(14:0_16:0),4768059,5996140,5135314,5777406,5215818,5318377,5741713,5284636,5402925,5457094,6203117,5750653,5882909,4592581,5746353,7662076,5526233,6557034,5188382,7113382,6674340,5247910,5612875,6057651,5717802,5686268,6569235,5576198,5361659,5649239,5765155,6258891,5544321,6817424,5207305,5383009,5253174,5344003,5727161,6239127,5402957,5279100,6110020,5637602
PC(31:1),127147,109616,121583,288813,99907,132592,125829,121364,122947,126919,155224,118896,127493,104573,114993,210273,132357,101118,134891,920504,108572,107105,112875,118631,131762,132345,120009,127268,109297,102347,105086,117691,121122,152701,127047,120246,104569,105465,118608,129226,140741,119582,118850,186122
PC(15:0_16:0),1913339,2238452,1705194,1631858,1928639,2117294,2170873,2020755,1783073,2048231,2067636,2128488,1968253,2038670,1777783,2708233,1900916,2057540,1791920,1125506,2291315,1844697,1893862,1911677,2051569,2241960,2750761,2146732,1780904,2113269,2056154,1873267,2109511,2306409,1740645,1846458,1912192,2253527,2071837,2029229,1863655,2019362,2507349,2152333
PC(32:2),1164856,2143105,1461773,1354828,1242356,2124795,2014334,2077477,1969961,2020219,1992314,1955859,1775504,1973863,1643344,1324460,1811858,2112832,1591711,1397004,1633198,2187334,1903439,1581062,1733028,1730802,2471633,1433724,1884536,1732874,1829119,2177654,1712197,1688386,1902141,1261998,1363659,1824060,2470880,2279919,2101040,2036162,1823779,2352490
PC(16:0_16:1),16292068,18745956,16789430,16965838,17058386,19944494,18502744,18372054,17627816,19109206,19502432,18609856,19423122,17433318,17400588,16885586,17760752,20494858,18659458,19199666,17971878,19280956,17428776,19209544,19328406,18521290,21566598,17170432,19704780,17765172,19654424,19075764,19055416,18938482,19833356,17366764,15857143,19480378,20272190,19377078,19251954,19561436,18576780,19257790
PC(16:0/16:0),12866570,13173484,14089579,12439874,15184876,12822297,14382756,11551263,14929593,15023038,14657373,12283237,13465631,14677405,14813855,11879773,12375984,11224275,12313923,13781040,14020850,11333445,12555606,15076672,13111712,14779892,14078700,12987489,12885927,13704392,13115770,11808230,15180220,14053772,12342722,10004059,11663252,13880617,10815744,12106213,11546436,13475214,12442481,12833234
PC(15:0_18:1);PC(16:0_17:1),730919,638483,729176,537982,679803,812347,745918,640873,657266,847516,746609,707289,643680,653577,669324,843893,888886,698211,706697,809140,844605,738818,681150,557079,636007,831273,804608,709498,648341,620547,669267,1063473,681047,676402,777141,702887,697142,756135,1045632,799899,816974,743650,736765,895957
PC(34:4),115735,210534,115053,145655,117270,140475,175847,162199,149668,147367,159784,150494,155740,144396,100253,139615,181397,250486,107310,113210,168297,164988,160960,115617,153580,117141,172319,135334,161775,117538,139440,161712,119053,138471,136151,96711,123026,124336,187871,196092,151167,126697,155525,170499
PC(16:0_18:3)a,159320,272534,134545,136664,187247,205808,305758,262325,251962,232591,160929,212289,204490,186494,151779,223651,210184,211062,183774,136121,200348,185251,156505,159805,173812,198185,296811,169293,185643,230105,249048,141231,267141,214919,211217,140805,231624,226989,196966,212086,201331,220042,283955,169133
PC(16:0_18:3)b,126628,178138,193486,216079,170854,168534,313090,206022,174174,236417,251152,286790,220094,269541,209207,131807,241896,298486,211233,241629,254924,278192,244217,176677,291790,173728,250668,136592,241384,144469,211426,228017,229130,150910,194206,134822,169774,203887,284570,202693,263811,190442,220121,261308
PC(16:1_18:2),540133,774152,588234,539776,539038,730398,862425,722850,778655,875918,685653,695490,543044,693245,581095,440183,895542,705504,614957,602797,641777,727893,677058,553529,586738,642187,775524,568732,695584,624066,645109,848884,644602,581492,777760,603672,581390,797975,868620,930502,925341,729211,741909,906359
